Department,Shift,Machine_Utilization_Percent,Downtime_Minutes,Production_Time_Minutes,Delivery_Delay_Minutes,Defect_Rate_Percent,Employee_Count
Quality Check,Night,71.37,28.33,147.29,9.93,3.32,26
Quality Check,Morning,76.75,40.77,154.42,15.41,2.36,20
Dispatch,Night,56.9,69.11,196.56,21.95,3.33,7
Assembly,Night,84.65,75.99,182.81,22.35,1.52,24
Packaging,Night,70.2,54.92,186.4,10.21,3.02,18
Assembly,Night,76.28,51.87,151.85,15.59,2.03,7
Packaging,Morning,78.67,22.93,149.1,21.83,1.97,5
Assembly,Night,69.74,47.18,161.44,14.62,3.81,25
Packaging,Evening,73.69,51.14,169.68,17.75,3.26,19
Packaging,Evening,54.65,35.79,201.1,14.94,4.75,5
Assembly,Night,82.32,28.1,153.92,22.06,1.23,21
Packaging,Night,85.8,14.37,148.98,18.61,2.72,6
Assembly,Evening,57.99,5.25,176.36,14.82,6.18,24
Assembly,Evening,70.94,1.04,155.15,5.29,3.08,10
Dispatch,Morning,62.7,51.59,176.31,19.53,4.69,12
Packaging,Evening,73.22,42.95,154.44,19.28,4.15,20
Assembly,Evening,81.49,30.32,152.7,11.06,3.79,23
Packaging,Night,84.87,33.37,146.45,10.65,2.92,5
Quality Check,Evening,86.22,44.21,142.31,25.16,3.26,7
Assembly,Morning,88.11,36.71,153.95,14.0,3.29,7
Quality Check,Evening,72.78,13.19,152.35,20.05,4.0,9
Assembly,Night,63.53,58.26,201.82,23.72,2.71,16
Assembly,Night,73.85,46.08,164.95,18.95,1.6,16
Packaging,Evening,81.33,45.32,164.93,19.06,1.38,24
Packaging,Night,62.73,56.75,177.21,11.51,3.59,17
Quality Check,Morning,91.6,23.73,149.69,14.59,3.01,24
Quality Check,Morning,83.98,64.27,170.14,26.73,1.7,13
Dispatch,Evening,72.93,37.2,152.25,18.99,4.28,11
Packaging,Evening,67.89,57.77,180.22,19.44,3.1,8
Assembly,Evening,68.31,54.69,182.07,26.76,3.09,23
Quality Check,Night,75.74,19.22,153.49,11.96,2.38,26
Assembly,Morning,72.71,50.06,182.33,14.41,1.48,23
Packaging,Morning,84.51,46.53,145.83,17.75,3.0,10
Assembly,Night,71.57,40.61,158.68,19.92,5.13,17
Assembly,Morning,80.06,38.11,165.22,7.13,2.93,15
Dispatch,Evening,74.71,38.28,155.95,17.17,1.41,17
Dispatch,Evening,77.7,56.25,174.0,22.49,3.9,17
Quality Check,Evening,72.7,51.56,148.58,16.39,1.74,29
Packaging,Morning,82.08,40.61,185.86,21.63,1.69,26
Assembly,Evening,82.23,10.16,137.62,14.73,2.65,24
Assembly,Night,79.6,49.89,178.19,28.19,3.14,19
Assembly,Night,81.08,54.47,164.45,14.42,1.94,25
Packaging,Morning,65.56,86.01,203.31,27.05,3.44,17
Quality Check,Night,78.23,61.51,189.24,14.14,3.8,26
Quality Check,Night,87.49,2.02,142.87,2.23,3.48,15
Assembly,Morning,79.91,41.57,158.97,6.06,4.26,23
Dispatch,Evening,64.69,76.23,192.63,24.13,5.67,12
Quality Check,Evening,74.5,52.47,181.92,18.79,4.08,24
Packaging,Evening,78.75,46.57,188.28,14.59,2.85,12
Quality Check,Morning,67.43,58.0,182.78,9.83,4.49,14
Packaging,Night,61.42,27.55,186.97,10.68,4.4,20
Assembly,Evening,71.84,49.56,169.85,17.45,3.91,23
Packaging,Evening,67.59,34.99,176.44,19.21,3.8,27
Quality Check,Morning,74.86,39.61,174.89,15.86,2.35,15
Assembly,Evening,59.09,56.57,182.57,19.75,3.02,17
Assembly,Morning,80.65,21.47,140.89,11.34,2.87,13
Assembly,Night,68.65,65.76,195.99,28.61,3.72,24
Assembly,Morning,84.96,31.54,145.64,9.64,2.07,28
Dispatch,Morning,72.23,45.21,160.4,13.29,3.81,23
Quality Check,Morning,74.75,11.99,140.56,9.34,5.34,20
Packaging,Morning,73.27,54.4,168.67,20.87,1.59,11
Assembly,Night,68.12,68.93,195.43,15.15,4.18,23
Packaging,Night,99.72,29.71,143.2,15.13,1.95,16
Packaging,Evening,70.04,17.8,161.8,13.49,3.95,19
Assembly,Night,85.24,45.56,163.36,13.36,2.31,27
Packaging,Night,64.06,69.1,184.27,22.01,3.65,18
Packaging,Evening,78.72,11.0,150.6,6.61,3.19,15
Quality Check,Night,79.79,17.87,158.72,7.1,2.71,14
Quality Check,Morning,74.76,30.92,164.59,15.14,1.74,15
Assembly,Morning,69.29,23.59,163.22,5.24,3.3,10
Packaging,Evening,72.37,23.66,148.63,2.82,1.97,6
Quality Check,Evening,70.97,0.0,145.34,12.66,4.1,15
Packaging,Evening,99.02,51.78,143.65,23.01,0.18,23
Dispatch,Morning,74.77,46.77,168.01,14.68,4.29,10
Quality Check,Night,80.25,6.02,123.01,7.56,3.42,18
Assembly,Morning,92.82,69.14,150.91,25.4,2.79,24
Assembly,Evening,66.24,73.62,189.27,15.32,1.52,10
Quality Check,Night,75.38,24.98,149.2,6.93,2.9,21
Assembly,Night,72.31,63.33,181.22,23.04,4.54,14
Packaging,Morning,74.14,28.54,156.47,14.33,2.77,5
Dispatch,Evening,73.21,43.62,167.91,21.87,2.26,7
Packaging,Morning,67.68,23.28,165.91,2.79,2.98,12
Packaging,Night,76.95,84.29,184.38,15.64,3.08,12
Quality Check,Morning,64.37,34.08,166.75,15.18,2.93,24
Packaging,Morning,84.89,42.53,172.16,18.47,3.99,26
Packaging,Evening,81.23,26.24,150.79,18.17,2.87,19
Dispatch,Evening,70.07,77.23,188.49,22.46,2.94,28
Packaging,Night,70.55,77.73,191.02,22.48,2.17,11
Dispatch,Morning,77.76,72.62,179.75,18.95,3.6,15
Dispatch,Morning,67.01,59.13,174.77,26.82,4.11,11
Assembly,Morning,93.12,27.5,132.03,8.61,1.55,8
Assembly,Night,78.58,56.56,163.44,20.28,0.83,29
Assembly,Night,78.93,39.86,169.5,11.04,3.46,16
Assembly,Evening,81.81,66.25,168.0,22.61,2.72,10
Assembly,Evening,69.21,62.32,180.48,14.16,3.88,18
Quality Check,Evening,85.89,27.01,154.5,17.77,4.66,16
Assembly,Morning,76.15,58.96,171.67,19.4,3.17,15
Assembly,Morning,84.5,53.64,170.92,26.77,2.26,23
Dispatch,Evening,73.02,0.0,126.18,8.59,2.2,25
Assembly,Morning,88.17,56.02,161.75,20.53,2.28,9
Dispatch,Evening,79.01,31.36,156.4,10.81,3.21,18
Assembly,Night,96.83,22.28,136.14,11.9,2.21,25
Assembly,Evening,71.3,23.13,140.31,14.0,5.16,28
Quality Check,Night,77.05,37.3,172.77,7.96,3.65,20
Quality Check,Morning,64.68,49.6,169.47,10.35,3.63,29
Dispatch,Evening,69.71,12.69,155.2,14.9,2.81,17
Quality Check,Morning,81.19,43.8,161.41,15.84,3.21,29
Dispatch,Night,86.29,51.54,171.92,14.77,1.78,26
Assembly,Night,100.0,77.24,188.22,17.9,2.18,26
Assembly,Night,74.03,18.47,138.95,9.28,3.79,29
Quality Check,Morning,65.67,33.01,160.78,15.51,3.5,24
Dispatch,Morning,82.53,45.23,163.0,19.01,2.24,26
Dispatch,Morning,63.72,62.95,175.74,8.98,1.63,8
Packaging,Morning,80.64,33.92,163.66,22.15,4.11,15
Packaging,Night,69.98,63.97,190.84,26.3,3.9,21
Quality Check,Night,77.12,1.25,144.65,-1.47,3.57,11
Assembly,Evening,85.91,14.93,142.6,17.67,1.14,18
Dispatch,Evening,73.89,46.97,182.77,22.32,4.69,15
Dispatch,Morning,84.33,11.78,128.05,11.77,2.32,26
Packaging,Night,83.73,16.51,143.57,5.99,2.52,13
Quality Check,Night,56.36,29.44,165.19,19.49,3.11,27
Quality Check,Night,65.98,55.43,189.37,17.11,1.91,17
Assembly,Evening,59.38,2.08,135.41,13.06,5.19,27
Dispatch,Evening,95.02,43.41,149.75,27.61,3.54,22
Packaging,Night,73.95,60.66,180.59,20.36,3.14,15
Dispatch,Night,92.81,36.1,137.94,10.83,1.68,19
Assembly,Night,58.67,32.62,166.38,13.21,3.69,29
Dispatch,Evening,69.27,48.04,173.56,13.26,3.19,29
Packaging,Night,83.0,36.16,164.84,17.59,1.65,26
Assembly,Night,76.79,67.81,168.92,16.14,2.87,23
Dispatch,Morning,80.33,17.77,137.82,10.3,3.14,5
Assembly,Morning,62.46,38.97,184.67,9.42,4.9,8
Assembly,Evening,88.77,44.11,152.72,15.96,2.58,18
Dispatch,Night,82.77,32.43,145.47,15.75,1.29,18
Dispatch,Night,79.02,0.0,144.07,-3.42,3.4,7
Packaging,Morning,68.14,36.78,162.67,16.82,3.34,21
Quality Check,Evening,78.24,58.0,182.49,18.47,4.46,7
Packaging,Morning,72.09,55.56,169.03,14.51,4.83,20
Assembly,Morning,58.5,47.1,179.87,27.21,5.54,18
Assembly,Morning,74.5,18.04,160.68,17.5,2.71,24
Quality Check,Morning,73.43,47.91,167.73,11.7,5.32,17
Quality Check,Night,85.62,28.53,156.18,18.47,3.07,19
Quality Check,Night,52.66,47.07,185.46,23.28,5.99,18
Quality Check,Morning,77.35,42.43,183.39,17.02,2.63,28
Assembly,Evening,63.44,20.47,177.22,14.88,3.53,29
Packaging,Evening,78.19,22.15,137.46,15.01,3.36,23
Assembly,Evening,78.74,47.1,170.49,6.64,3.21,10
Packaging,Evening,74.13,35.58,153.88,14.4,4.55,14
Packaging,Morning,83.07,23.19,149.37,12.28,2.61,19
Dispatch,Night,62.54,21.54,163.58,20.38,5.04,25
Packaging,Evening,86.08,33.92,140.94,16.76,3.43,26
Assembly,Morning,67.92,71.36,199.07,19.22,3.39,24
Assembly,Evening,59.44,29.48,172.17,13.97,4.68,10
Quality Check,Evening,72.28,39.72,163.16,21.07,2.91,27
Quality Check,Morning,54.05,42.03,177.6,15.38,6.65,29
Assembly,Night,77.54,17.38,149.79,9.12,0.46,14
Assembly,Night,72.41,4.74,149.0,9.33,4.05,11
Quality Check,Morning,87.34,19.47,140.56,17.62,0.87,26
Assembly,Night,81.49,44.94,133.45,19.22,2.7,21
Dispatch,Morning,61.08,41.75,176.35,16.48,3.86,22
Quality Check,Morning,66.62,54.05,164.72,19.06,5.18,21
Assembly,Morning,80.21,41.93,158.9,13.49,2.3,13
Assembly,Night,83.47,37.81,141.86,14.7,4.13,14
Dispatch,Morning,87.23,27.92,132.81,10.87,1.46,14
Packaging,Evening,87.15,57.69,177.25,17.18,3.99,29
Packaging,Night,74.1,21.62,150.49,19.97,2.82,11
Dispatch,Night,78.63,17.79,143.81,7.28,3.14,20
